Fecha,Local,Visit,Local pitcher,Visit pitcher
7827,20210524.0,Twins,Orioles,M. Shoemaker,J. Means
9261,20210924.0,Guardians,White,S. Bieber,D. Cease 
24,20170421.0,Rangers,Royals,C. Hamels ,N. Karns 
5072,20190604.0,Blue,Yankees,C. Richard,M. Tanaka 
4589,20190423.0,Rays,Royals,R. Stanek,H. Bailey 
3903,20180904.0,Rangers,Angels,M. Minor ,A. Heaney 
5250,20190618.0,Athletics,Orioles,B. Anderson ,G. Ynoa 
10481,20220709.0,Cardinals,Phillies,D. Hudson,K. Gibson
2405,20180502.0,Mariners,Athletics,J. Paxton,B. Anderson
6321,20190919.0,Twins,Royals,K. Gibson,M. Montgomery
9826,20220515.0,Athletics,Angels,F. Montas ,P. Sandoval 
6866,20200831.0,Brewers,Pirates,B. Suter,T. Williams
5001,20190528.0,Marlins,Giants,T. Richards ,J. Samardzija 
9899,20220521.0,Rockies,Mets,T. Blach,T. Williams 
2572,20180515.0,Braves,Cubs,M. Foltynewicz,Y. Darvish
4963,20190525.0,Astros,R.Sox,B. Peacock,D. Price
511,20170531.0,Cardinals,Dodgers,C. Martinez ,H. Ryu
5945,20190819.0,Diamondbacks,Rockies,Z. Gallen,C. Gonzalez
9215,20210920.0,Brewers,Cardinals,F. Peralta ,J. Lester 
8882,20210822.0,Cubs,Royals,A. Mills ,C. Hernandez 
7710,20210515.0,Pirates,Giants,T. Anderson,J. Cueto
9920,20220523.0,Twins,Tigers,C. Archer,E. Rodriguez
6382,20190925.0,Diamondbacks,Cardinals,M. Kelly ,M. Wacha
10500,20220710.0,White,Tigers,M. Kopech,D. Hutchison
6099,20190901.0,Cubs,Brewers,T. Chatwood ,G. Gonzalez
6372,20190924.0,Blue,Orioles,T. Pannone ,D. Bundy 
1270,20170805.0,Astros,Blue,C. Morton,M. Estrada
4486,20190414.0,Twins,Tigers,J. Berrios ,J. Zimmermann 
788,20170624.0,Royals,Blue,J. Vargas ,M. Estrada 
899,20170702.0,Angels,Mariners,J. Chavez ,J. Paxton 
8308,20210703.0,Rockies,Cardinals,K. Freeland,W. LeBlanc
4509,20190416.0,Twins,Blue,K. Gibson,A. Sanchez 
2814,20180603.0,Royals,Athletics,J. Junis ,D. Gossett
