Fecha,Local,Visit,Local Score,Visit Score,Local i5,Visit i5,Local Hits,Visit Hits,Local pitcher,Local pitcher in,Local pitcher ERA,Local pitcher Hit ERA,Local pitcher K ERA,Local pitcher BB ERA,Visit pitcher,Visit pitcher in,Visit pitcher ERA,Visit pitcher Hit ERA,Visit pitcher K ERA,Visit pitcher BB ERA,Local Win?,L bullpen recieved,V bullpen recieved
20150413,Padres,Diamondbacks,4.0,8.0,3.0,4.0,9.0,12.0,A. Cashner ,6.0,4.0,7.0,9.0,1.0,R. De La Rosa ,6.0,3.0,6.0,5.0,1.0,0.0,4.0,1.0
20150414,Red,Nationals,8.0,7.0,5.0,7.0,11.0,10.0,J. Masterson,4.2,7.0,8.0,4.0,3.0,S. Strasburg,5.1,5.0,10.0,5.0,0.0,1.0,0.0,3.0
20150414,Orioles,Yankees,4.0,3.0,3.0,0.0,7.0,6.0,M. Gonzalez ,7.0,1.0,4.0,10.0,1.0,C. Sabathia ,7.0,4.0,7.0,7.0,1.0,1.0,2.0,0.0
20150414,Pirates,Tigers,0.0,2.0,0.0,0.0,3.0,9.0,A.J. Burnett ,6.2,1.0,7.0,8.0,2.0,S. Greene ,8.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0
20150414,Blue,Rays,2.0,3.0,2.0,2.0,8.0,7.0,D. Norris,5.0,2.0,2.0,4.0,3.0,M. Andriese,3.2,2.0,5.0,2.0,1.0,0.0,1.0,0.0
20150414,Guardians,White,1.0,4.0,1.0,4.0,3.0,8.0,C. Carrasco ,0.0,2.0,2.0,0.0,0.0,J. Quintana ,6.0,1.0,3.0,6.0,2.0,0.0,2.0,0.0
20150414,Braves,Marlins,2.0,8.0,2.0,5.0,8.0,11.0,T. Cahill ,2.1,4.0,5.0,2.0,3.0,T. Koehler ,5.1,2.0,6.0,3.0,2.0,0.0,4.0,0.0
20150414,Mets,Phillies,6.0,5.0,5.0,3.0,12.0,7.0,M. Harvey ,6.0,3.0,5.0,8.0,0.0,D. Buchanan ,5.2,5.0,9.0,3.0,2.0,1.0,2.0,1.0
20150414,Rangers,Angels,8.0,2.0,4.0,0.0,11.0,7.0,N. Martinez ,7.0,1.0,5.0,1.0,3.0,D. Rucinski ,2.2,4.0,6.0,0.0,4.0,1.0,1.0,4.0
20150414,Cubs,Reds,2.0,3.0,0.0,3.0,5.0,7.0,J. Arrieta ,6.2,3.0,7.0,5.0,1.0,A. DeSclafani ,7.0,0.0,2.0,5.0,2.0,0.0,0.0,2.0
20150414,Astros,Athletics,0.0,4.0,0.0,1.0,8.0,7.0,B. Peacock ,5.0,3.0,5.0,3.0,2.0,K. Graveman ,5.1,0.0,4.0,3.0,4.0,0.0,1.0,0.0
